Representative,AvgTradeReturn,AvgSPYReturn,AvgExcessReturn,NumTrades,WinRate,BeatSPYRate,Party
E. Scott Rigell,0.02475192286937504,0.01858406157892156,0.006167861290453478,52,0.6153846153846154,0.4807692307692308,Republican
David E. Price,0.024406663609421876,0.01743708653439182,0.006969577075030058,58,0.5689655172413793,0.5,Democratic
David Perdue,0.02426875893940345,0.029128504925634954,-0.004859745986231509,873,0.56815578465063,0.47766323024054985,Republican
James French Hill,0.023756094703390972,0.039420125606386774,-0.015664030902995802,30,0.6333333333333333,0.3333333333333333,Republican
Thomas Macarthur,0.02365065244800872,0.02019741575070326,0.0034532366973054644,850,0.6270588235294118,0.5094117647058823,Republican
Tony Wied,0.023338946788883465,0.0033877098941931414,0.019951236894690322,20,0.6,0.5,Republican
Alan S. Lowenthal,0.023308671032839682,0.021383021809362874,0.0019256492234768039,364,0.5576923076923077,0.4835164835164835,Democratic
John Rutherford,0.022371772095194795,0.015481494045733072,0.006890278049461723,115,0.6260869565217392,0.4956521739130435,Republican
Sheldon Whitehouse,0.02223164688408496,0.02016088360502746,0.0020707632790574987,333,0.5855855855855856,0.5045045045045045,Democratic
Pete Sessions,0.02202798454715779,0.013052191511102046,0.008975793036055743,217,0.5898617511520737,0.5483870967741935,Republican
Richard W. Allen,0.021973090356727315,0.029055058624988177,-0.007081968268260861,95,0.6526315789473685,0.42105263157894735,Republican
Lisa Mcclain,0.02142395935458807,0.04150799213644268,-0.02008403278185461,697,0.5480631276901005,0.3931133428981349,Republican
Michael K. Simpson,0.020661086169306456,0.05296787182095745,-0.032306785651650995,40,0.5,0.35,Republican
Debbie Dingell,0.01980183419916157,0.025733968483531912,-0.005932134284370341,126,0.6111111111111112,0.5476190476190477,Democratic
Michael T. McCaul,0.019486608482475482,0.023842656401613135,-0.0043560479191376515,5467,0.5513078470824949,0.4649716480702396,Republican
Jackie Speier,0.018505198018232784,-0.013580860242254422,0.0320860582604872,5,0.4,0.6,Democratic
Robert E. Latta,0.017878515375790674,0.038057793355097964,-0.02017927797930729,18,0.6111111111111112,0.4444444444444444,Republican
Raúl M. Grijalva,0.017805236371649977,0.009684169572608793,0.008121066799041185,72,0.4861111111111111,0.4027777777777778,Democratic
Dwight Evans,0.017735608923236747,0.019009169147217862,-0.0012735602239811164,81,0.5061728395061729,0.4567901234567901,Democratic
