,Composite (all 3),Bottom 8 (composite),Lobbying only,Contracts only,Congress buys only,Hold all 32 (no signal),SPY
2018-08-31,15271.932000538514,19794.621327160738,17190.576441880938,19266.005522300715,18244.770232021827,18428.204417027388,14447.801109350237
2018-09-30,13974.01679340161,17737.1040974706,15139.398944637976,16946.642991159824,16519.56513254346,16521.281005846377,13402.832805071313
2018-10-31,14351.098719416434,18477.366990857543,15702.916470038763,17359.920576902827,17446.176585217487,17224.741156195723,13651.446117274167
2018-11-30,12914.979476421124,16855.71148879922,14245.870634916473,15332.315649875169,15899.96148399108,15551.848784122327,12377.179080824088
2018-12-31,14141.013969782727,18700.48637909314,15518.888806791454,16879.90433915053,17030.933264270057,16796.945887287045,13368.16561014263
2019-01-31,14912.356006282176,20644.676249107666,16191.644177332884,17837.477087094994,17503.26947439827,17564.236150870904,13801.505546751187
2019-02-28,15007.467132849302,20973.54518146862,16258.016506502023,17602.476996238714,17858.342910714135,17641.161817307286,14155.606180665607
2019-03-31,15593.410821746547,21971.670729143214,16711.214264916645,17729.074302081855,18125.622177449386,17982.655774130653,14561.212361331218
2019-04-30,14705.997986793845,22222.949432928388,16095.080894144263,17056.36930718136,17107.93101080877,17391.714668170825,13632.626782884307
2019-05-31,15776.730377235144,22568.31228629217,17357.152552165266,18528.940761162834,18038.24172449748,18180.21994895971,14642.43264659271
2019-06-30,15631.674587213533,22733.646694538344,17165.31814918123,18207.955778860392,17845.865010721507,18135.911271221394,14730.091125198094
2019-07-31,15900.694286291278,22698.590412318103,17138.434805306562,18290.599368809595,17436.805180509185,17846.89549438186,14398.771790808238
2019-08-31,16128.587173290398,22585.437550163835,17402.641247280008,18716.65085655919,17747.43723933568,18151.419101989624,14697.404912836762
2019-09-30,15913.480494940228,22183.708633834078,17141.387739355243,18335.48903090255,17948.574617937662,18152.525637795952,15022.286053882723
2019-10-31,16421.79511380976,23164.986316776343,17357.009315017986,18527.784251530218,18926.652504724392,18734.382372409396,15433.835182250396
2019-11-30,16744.418687015663,23969.08775322397,17357.541223490643,18576.21058741089,19242.97873501454,19096.153475666604,15939.976228209192
2019-12-31,17148.914571045578,24525.43421437861,17937.499653428877,18946.52190769081,19161.878056716105,19284.460160419687,15933.538034865293
2020-01-31,16095.623191557192,24834.330716995246,16829.45346953906,17645.748625484513,17980.44285329173,18358.18309369413,15307.547543581615
2020-02-29,13490.837473712161,22195.207471361035,14472.350278026923,14423.538066982454,15016.467530124455,15735.801411749235,12764.956418383517
2020-03-31,15133.794142941962,25997.00419619435,16375.559041510634,15902.211238864378,17189.760561065443,17819.846468126256,14385.895404120443
2020-04-30,15522.078717542796,29028.87566196682,16806.648526252706,16703.4868101801,17351.944724202276,18764.106359054964,15132.230586370839
2020-05-31,16057.88346837384,28930.80429770937,17300.604027061596,17050.611744154343,17971.13382918705,18894.773962736977,15271.394611727415
2020-06-30,15939.46587712146,30069.150901071538,17818.37757079399,16932.23751125617,18253.912859813456,19340.395944404307,16170.76069730586
2020-07-31,16685.603186456938,30237.810021305282,18595.24177051967,17601.499039451337,19142.424753332198,19838.033496497355,17299.425515055464
2020-08-31,15557.147899093672,29163.15841283825,17544.513140464325,15965.854360749952,17825.474529400708,18681.61218362203,16585.28129952456
2020-09-30,15062.752056910938,29010.999044552813,16754.69457846862,16106.598786150184,17109.48413844121,18669.125480548293,16353.011093502371
2020-10-31,17070.11744731398,41550.35236952513,18654.542997289893,18625.236345750134,19141.448703368325,22637.889548196585,17930.86370839936
2020-11-30,17318.842390374626,42966.828074627534,18720.92940285195,18757.654865385757,19452.195768914862,23248.258567112633,18516.244057052292
2020-12-31,17068.31299621427,47931.31815090716,18491.426046264398,18181.850085666,19683.160599482697,24124.028357867035,18632.626782884305
2021-01-31,17877.702318903073,47233.33593033341,19054.421817091636,18644.694443311713,19853.396636682053,24780.70116820163,19293.779714738503
2021-02-28,18835.421941646553,47002.23749795605,20490.152613555816,19818.383063184658,20720.58559231378,25677.67995155045,19628.070522979393
2021-03-31,19232.92265934969,49335.02738305327,21136.748575988382,20401.79242186808,21096.828449965535,26600.891074959098,20666.600633914415
2021-04-30,19618.777903611302,49924.78368286657,21405.65329996961,20990.911694461483,21033.25660068718,27202.331005509008,20783.973851030107
2021-05-31,19951.657133075,54809.96781278404,21533.007737098193,20790.995134623794,21397.037955551816,28041.233870039814,21199.48494453248
2021-06-30,20149.26016904126,58759.42011592749,21355.615136235894,21083.68144440037,21809.045518578187,28533.44959193686,21671.45404120443
2021-07-31,20139.57774703955,59068.69695319185,21400.820609685503,21213.88488734201,22212.891253621518,29011.60803726151,22363.31220285261
2021-08-31,19657.45221368713,57025.97103017211,20887.46661137909,20674.823490375675,21439.966353574277,28076.319553975707,21252.971473851027
2021-09-30,20776.6600461422,59962.958139859904,21681.385276638783,21111.70631206432,23047.350672935238,29829.934456129493,22783.280507131534
2021-10-31,20631.900682595584,55795.30324327843,20587.530848983748,20559.168026571384,23091.513263060537,28442.237752436176,22561.41045958795
2021-11-30,21680.06916885071,53779.51875175132,20977.66588600821,21849.886451359773,24197.921521724307,29251.871474955497,23522.187004754353
2021-12-31,22401.241958649007,47627.08719552798,20861.160141981236,21979.561523445143,24743.830416894914,28237.082248035837,22281.596671949283
2022-01-31,22563.884662578097,49317.01749993936,21379.411841653484,23671.789345677986,24825.438883148578,29232.26822966853,21623.91045958795
2022-02-28,23635.392618855516,53674.05089483996,21990.483471898355,24009.3345234886,26608.385929126984,31441.215869060867,22367.27416798731
