Date,OpenPositions,CumPortfolio,CumSPY
2016-09-16,221,10521.761673419907,11700.482561965342
2016-09-19,221,10545.21692152325,11702.676025444176
2016-09-20,222,10496.103905463962,11703.224391313883
2016-09-21,226,10602.885550594012,11834.832200043867
2016-09-22,223,10724.114512816257,11909.409958324193
2016-09-23,221,10678.206574091037,11844.15441982891
2016-09-26,220,10581.387057014486,11748.190392629962
2016-09-27,285,10643.315647229914,11821.123053301162
2016-09-28,284,10700.014079619952,11879.798201359945
2016-09-29,284,10577.277796277853,11772.318490897127
2016-09-30,291,10684.554362905334,11861.153761789867
2016-10-03,282,10665.003970164353,11832.638736565035
2016-10-04,294,10641.713337522775,11772.318490897127
2016-10-05,290,10715.88844541648,11824.413248519411
2016-10-06,273,10696.681974089752,11832.638736565035
2016-10-07,276,10641.802982841444,11792.059662206622
2016-10-10,277,10698.310250811552,11853.47663961395
2016-10-11,296,10552.853898931926,11703.772757183593
2016-10-12,294,10533.722025858107,11719.127001535424
2016-10-13,296,10477.426532901267,11680.741390655845
2016-10-14,323,10461.62664371324,11686.773415222635
2016-10-17,253,10439.523998037259,11646.194340864224
2016-10-18,349,10508.600775013267,11719.127001535424
2016-10-19,349,10533.155309285135,11750.383856108794
2016-10-20,352,10510.631495142661,11728.449221320465
2016-10-21,352,10525.903511402972,11733.932880017546
2016-10-24,346,10567.027087672352,11783.834174160998
2016-10-25,348,10516.620273594288,11744.351831542004
2016-10-26,347,10509.525085137617,11720.77209914455
2016-10-27,347,10459.233471021545,11689.515244571176
2016-10-28,349,10406.324346428839,11654.968194779556
2016-10-31,344,10385.237377475642,11655.516560649265
2016-11-01,343,10325.618986928966,11571.068216714191
2016-11-02,336,10226.510313214889,11501.42575126124
2016-11-03,334,10178.028634148242,11448.782627769247
2016-11-04,341,10182.754115652871,11436.170212765957
2016-11-07,323,10348.386011393191,11688.41851283176
2016-11-08,323,10378.570666146585,11741.061636323755
2016-11-09,362,10562.268941924285,11865.496819477954
2016-11-10,364,10640.22610077749,11895.152445711776
2016-11-11,362,10668.855907148016,11867.734152226363
2016-11-14,351,10721.79609954607,11877.056372011406
2016-11-15,351,10776.752032812201,11969.730203992101
2016-11-16,356,10771.45079752139,11947.247203334064
2016-11-17,360,10797.617821280246,12008.66418074139
2016-11-18,360,10796.405892705427,11981.794253125683
2016-11-21,431,10905.926165739353,12072.27462162755
2016-11-22,435,10947.699789043449,12095.854354025007
2016-11-23,446,10970.627348112634,12102.434744461503
2016-11-25,381,11007.705933888112,12147.400745777584
2016-11-28,381,10952.765139674038,12090.370695327922
2016-11-29,375,10939.526375141277,12113.950427725378
2016-11-30,381,10980.029717493922,12084.887036630838
2016-12-01,378,10950.573702282223,12040.469401184468
2016-12-02,378,10981.329224726867,12046.501425751261
2016-12-05,374,11101.532516877853,12118.885720552753
2016-12-06,382,11183.963492974262,12157.271331432332
2016-12-07,376,11311.009906207217,12316.29743364773
2016-12-08,388,11381.737672716272,12346.457556481684
2016-12-09,390,11454.764122638182,12421.035314762008
2016-12-12,381,11396.358707926756,12406.777802149594
2016-12-13,368,11422.652111771438,12489.581048475542
2016-12-14,383,11333.765430635745,12386.488264970389
2016-12-15,290,11348.730811210064,12437.486290853258
2016-12-16,288,11404.69879557155,12340.42553191489
2016-12-19,291,11428.669478038,12367.295459530598
2016-12-20,294,11497.329060533399,12415.003290195216
2016-12-21,291,11460.113636632095,12380.456240403597
2016-12-22,286,11442.471823702674,12359.069971484972
2016-12-23,357,11470.05595728092,12377.166045185348
2016-12-27,366,11511.477237442532,12407.87453388901
2016-12-28,376,11389.114080002528,12305.330116253563
2016-12-29,375,11405.928391350997,12302.58828690502
2016-12-30,376,11363.830592527207,12257.622285588945
2017-01-03,364,11464.877548645172,12351.392849309059
2017-01-04,366,11576.45219082722,12424.873875849966
2017-01-05,377,11583.42485518389,12415.003290195216
2017-01-06,379,11633.12240976757,12459.420925641587
2017-01-09,342,11554.586618324212,12418.293485413467
2017-01-10,362,11578.608212186315,12418.293485413467
2017-01-11,363,11639.670218896543,12453.388901074795
2017-01-12,407,11583.220233935992,12422.132046501423
2017-01-13,412,11649.813381326127,12450.647071726255
2017-01-17,403,11597.36326355382,12406.777802149594
2017-01-18,588,11611.927475173536,12434.196095635007
2017-01-19,587,11543.108573094356,12388.133362579512
2017-01-20,588,11585.46579598297,12433.647729765298
2017-01-23,577,11560.151089155841,12401.294143452511
2017-01-24,577,11649.68460554616,12480.807194560208
2017-01-25,582,11745.831084288204,12588.835270892738
2017-01-26,641,11703.265803165674,12575.674490019741
2017-01-27,661,11679.72923570866,12555.933318710242
2017-01-30,649,11592.468848559394,12478.065365211667
2017-01-31,658,11626.602621841064,12476.968633472252
2017-02-01,659,11634.489648544,12481.903926299627
2017-02-02,679,11624.289913303146,12490.12941434525
2017-02-03,680,11704.438281691346,12576.22285588945
2017-02-06,644,11682.189983881488,12553.73985523141
2017-02-07,649,11673.031238541927,12554.288221101118
2017-02-08,655,11683.19839319896,12570.739197192366
2017-02-09,659,11758.71546019746,12645.31695547269
2017-02-10,687,11820.778128325297,12695.218249616142
2017-02-13,666,11878.730279788651,12764.312349199385
2017-02-14,668,11918.609442566056,12815.310375082254
2017-02-15,708,11965.575644228635,12882.211011186662
2017-02-16,713,11940.012400512362,12871.243693792498
2017-02-17,716,11948.23966552595,12891.533230971703
2017-02-21,642,12029.018884292831,12968.304452730861
2017-02-22,698,12013.516864998437,12956.788769466986
2017-02-23,695,12014.745585528717,12965.56262338232
2017-02-24,695,12026.305168263423,12982.013599473568
2017-02-27,691,12060.624659774097,13002.303136652776
2017-02-28,690,11981.341183851337,12967.207720991444
2017-03-01,690,12143.889355710848,13148.716823864881
2017-03-02,685,12065.3726702927,13065.913577538935
2017-03-03,704,12050.48653393126,13074.139065584555
2017-03-06,700,12001.552676798252,13035.205088835271
2017-03-07,700,11955.822519817895,12996.271112085982
2017-03-08,694,11923.629074109695,12972.14301381882
2017-03-09,712,11909.46510736407,12988.593989910069
2017-03-10,705,11962.550052269125,13034.108357095853
2017-03-13,660,11955.177062088793,13040.688747532351
2017-03-14,660,11909.290141067117,12990.7874533889
2017-03-15,666,12050.273174061193,13103.202456679095
2017-03-16,735,12033.370421650141,13077.429260802806
2017-03-17,746,12023.462052579385,12997.916209695108
2017-03-20,489,12010.878065354571,12983.658697082694
2017-03-21,563,11843.539505717477,12816.955472691378
2017-03-22,563,11845.158139144078,12847.115595525334
2017-03-23,640,11857.914225429755,12833.406448782627
2017-03-24,648,11853.42556503147,12824.084228997588
2017-03-27,586,11860.323811524368,12810.923448124588
2017-03-28,569,11922.126307574881,12904.145645974993
2017-03-29,576,11971.47194030045,12916.209695108575
2017-03-30,571,12014.380646492624,12957.337135336695
2017-03-31,572,12012.617643401,12927.177012502741
2017-04-03,529,11954.033031354902,12904.694011844702
2017-04-04,543,11922.599343407925,12912.919499890326
2017-04-05,545,11859.508041165414,12874.533889010747
2017-04-06,538,11919.717111054262,12910.726036411494
2017-04-07,550,11914.220903715608,12897.565255538495
2017-04-10,546,11944.082130774312,12905.24237771441
2017-04-11,536,11948.35833107361,12889.88813336258
2017-04-12,544,11880.664141900454,12833.406448782627
2017-04-13,559,11790.105441098383,12750.05483658697
2017-04-17,505,11885.606238227974,12863.018205746872
2017-04-18,526,11861.384603048762,12824.632594867297
2017-04-19,526,11846.30470403758,12801.05286246984
2017-04-20,466,11938.6226538582,12905.24237771441
2017-04-21,464,11903.848977725997,12864.11493748629
2017-04-24,458,12015.664401739687,13005.593331871023
2017-04-25,472,12084.335767308796,13081.267821890766
2017-04-26,473,12104.205203760528,13073.042333845142
2017-04-27,472,12098.297461675855,13084.009651239305
2017-04-28,553,12048.314685937941,13055.494626014477
2017-05-01,557,12018.46961896414,13088.396578196973
2017-05-02,540,12025.894971701246,13093.331871024347
2017-05-03,545,12003.867225856506,13077.429260802806
2017-05-04,543,11962.6846218377,13092.783505154637
2017-05-05,548,12047.555393633189,13144.329896907215
2017-05-08,526,12030.853176417122,13142.136433428383
2017-05-09,529,12034.565350187602,13130.0723842948
2017-05-10,542,12055.205419659304,13153.652116692256
2017-05-11,537,12006.125589054724,13126.782189076552
2017-05-12,543,11963.815205610797,13104.847554288219
2017-05-15,493,12036.526033264598,13177.231849089712
2017-05-16,486,12018.365108050615,13165.16779995613
2017-05-17,488,11818.933210038216,12931.563939460406
2017-05-18,413,11846.195382566642,12983.658697082694
2017-05-19,414,11924.285418845699,13068.107041017767
2017-05-22,332,11997.13687070567,13134.459311252467
2017-05-23,328,11984.971197784887,13163.522702347005
2017-05-24,327,11984.01933288375,13194.231191050669
2017-05-25,328,11987.836458520602,13257.293266067118
2017-05-26,339,11978.412905476212,13254.551436718579
2017-05-30,358,11928.23005420731,13243.035753454704
2017-05-31,390,11925.290762123897,13239.745558236453
2017-06-01,381,12002.547005709861,13345.031805220442
2017-06-02,390,12023.178826130796,13389.449440666813
2017-06-05,392,11989.13941495599,13379.578855012065
2017-06-06,381,11941.197404349065,13336.806317174818
2017-06-07,380,11915.47426635974,13361.482781311692
2017-06-08,406,11916.219551938879,13368.06317174819
2017-06-09,413,12001.197380913778,13347.773634568983
2017-06-12,380,12019.53042990406,13345.031805220442
2017-06-13,382,12086.133517031385,13410.287343715727
2017-06-14,547,12044.453968553365,13393.28800175477
2017-06-15,547,11991.772271668384,13367.514805878482
2017-06-16,551,11973.645599617199,13305.549462601448
2017-06-19,642,12030.356204657124,13416.319368282517
2017-06-20,654,11922.611278175182,13325.838999780653
2017-06-21,662,11881.676749393588,13322.548804562402
2017-06-22,667,11910.80854478987,13316.516779995613
2017-06-23,655,11972.072508895597,13332.419390217152
2017-06-26,658,12019.760652054572,13341.193244132483
2017-06-27,577,11948.621942921942,13233.713533669665
2017-06-28,576,12066.550161281397,13352.160561526649
2017-06-29,577,12001.212495498337,13234.81026540908
2017-06-30,579,12024.936467506397,13259.486729545953
2017-07-03,566,12097.635064481448,13281.969730203991
2017-07-05,561,12067.559436206044,13312.678218907655
2017-07-06,556,11924.690429159733,13190.94099583242
2017-07-07,556,12004.130645059357,13276.48607150691
2017-07-10,538,12001.100260874795,13290.743584119324
2017-07-11,549,12002.652808405754,13280.872998464574
2017-07-12,545,12087.185185906379,13380.675586751478
2017-07-13,546,12144.22076862834,13403.158587409518
2017-07-14,613,12193.95442903676,13465.672296556262
2017-07-17,615,12196.888377414136,13464.027198947137
2017-07-18,656,12176.441154851478,13471.155955253344
2017-07-19,662,12264.626844532782,13544.088615924544
2017-07-20,739,12262.357949990275,13550.120640491334
2017-07-21,740,12257.773721737676,13538.056591357752
2017-07-24,740,12236.398321170795,13534.766396139503
2017-07-25,734,12317.172514741467,13567.668348322
2017-07-26,707,12323.217602497307,13568.216714191707
2017-07-27,675,12332.986442544388,13555.604299188417
2017-07-28,690,12311.785555102719,13539.701688966876
2017-07-31,745,12311.770905398223,13532.024566790964
2017-08-01,737,12334.183445219312,13562.184689624917
2017-08-02,739,12295.83517704067,13568.765080061416
2017-08-03,739,12245.427345118227,13542.443518315418
2017-08-04,742,12289.87260601105,13567.119982452292
2017-08-07,721,12273.03630164898,13592.344812458872
2017-08-08,715,12242.295501820838,13558.894494406666
2017-08-09,705,12206.103902789273,13558.346128536958
2017-08-10,704,12006.071270026487,13366.966440008771
2017-08-11,716,12025.638753348863,13386.707611318272
2017-08-14,676,12126.980042967463,13519.41215178767
2017-08-15,674,12093.180116585332,13517.767054178546
2017-08-16,585,12167.047079823496,13541.346786576003
2017-08-17,588,11976.428505072688,13330.22592673832
2017-08-18,575,11954.75174346498,13309.388023689406
2017-08-21,563,11959.708700649642,13319.806975213862
2017-08-22,569,12077.813707132405,13459.091906119762
2017-08-23,567,12058.519317627157,13410.835709585434
2017-08-24,566,12044.739858612866,13379.578855012065
2017-08-25,572,12101.650136821236,13410.835709585434
2017-08-28,572,12080.578794907486,13411.384075455142
2017-08-29,571,12068.146086154045,13426.738319806975
2017-08-30,604,12117.853865791203,13490.348760693134
2017-08-31,604,12198.1576086411,13571.506909409958
2017-09-01,601,12249.409705979593,13590.699714849748
2017-09-05,595,12159.564206687923,13493.090590041675
